epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,1549.54,0.97894,0.55938,1.0613,0.9209,0.8617,0.89156,0.52403,1.50529,0.64119,1.41938,0.0012872,0.0012872,0.0012872
146,1561.53,0.98911,0.56554,1.05639,0.90886,0.87234,0.89564,0.52679,1.51348,0.66023,1.37004,0.00128225,0.00128225,0.00128225
147,1570.44,0.94791,0.55403,1.04136,0.9137,0.84043,0.88484,0.53362,1.49963,0.63044,1.39457,0.0012773,0.0012773,0.0012773
148,1582.51,0.94058,0.5699,1.03049,0.93014,0.88298,0.91638,0.55536,1.47428,0.61196,1.3728,0.00127235,0.00127235,0.00127235
149,1591.92,0.9906,0.56981,1.04969,0.92551,0.90426,0.91322,0.54849,1.45022,0.60919,1.36533,0.0012674,0.0012674,0.0012674
150,1602.74,0.96577,0.57434,1.05688,0.93642,0.89362,0.9428,0.55732,1.4816,0.60316,1.38025,0.00126245,0.00126245,0.00126245
151,1613.27,0.94947,0.56347,1.0337,0.90418,0.85106,0.9138,0.56234,1.43461,0.61821,1.38231,0.0012575,0.0012575,0.0012575
152,1622.35,1.03458,0.56491,1.07167,0.89246,0.88283,0.90835,0.54393,1.47846,0.61359,1.36485,0.00125255,0.00125255,0.00125255
153,1634.01,1.01067,0.58451,1.05191,0.88911,0.8617,0.90078,0.5343,1.49344,0.63721,1.36735,0.0012476,0.0012476,0.0012476
154,1642.81,0.97146,0.53742,1.03916,0.92229,0.90426,0.91707,0.52505,1.50403,0.65935,1.41648,0.00124265,0.00124265,0.00124265
155,1653.99,0.97243,0.56486,1.03431,0.93209,0.90426,0.93156,0.52478,1.53052,0.64644,1.3819,0.0012377,0.0012377,0.0012377
156,1664.38,0.94093,0.5453,1.03571,0.93268,0.91489,0.93034,0.5291,1.46388,0.63043,1.39628,0.00123275,0.00123275,0.00123275
157,1674.09,0.959,0.55458,1.03108,0.88291,0.88238,0.8996,0.51743,1.54329,0.66991,1.40849,0.0012278,0.0012278,0.0012278
158,1685.68,0.97407,0.55602,1.03389,0.92429,0.87234,0.88705,0.48841,1.52742,0.69191,1.38742,0.00122285,0.00122285,0.00122285
